sourceId,referenceTime,elementId,value,unit,timeOffset
Open-Meteo-API,2026-02-23 12:00:00+00:00,temperature_2m,7.1194997,Celsius,0
Open-Meteo-API,2026-02-23 13:00:00+00:00,temperature_2m,7.0195,Celsius,0
Open-Meteo-API,2026-02-23 14:00:00+00:00,temperature_2m,6.8694997,Celsius,0
Open-Meteo-API,2026-02-23 15:00:00+00:00,temperature_2m,6.6695,Celsius,0
Open-Meteo-API,2026-02-23 16:00:00+00:00,temperature_2m,6.3694997,Celsius,0
Open-Meteo-API,2026-02-23 17:00:00+00:00,temperature_2m,6.0695,Celsius,0
Open-Meteo-API,2026-02-23 18:00:00+00:00,temperature_2m,5.9694996,Celsius,0
Open-Meteo-API,2026-02-23 19:00:00+00:00,temperature_2m,6.1695,Celsius,0
Open-Meteo-API,2026-02-23 20:00:00+00:00,temperature_2m,6.5695,Celsius,0
Open-Meteo-API,2026-02-23 21:00:00+00:00,temperature_2m,7.0695,Celsius,0
Open-Meteo-API,2026-02-23 22:00:00+00:00,temperature_2m,7.7194996,Celsius,0
Open-Meteo-API,2026-02-23 23:00:00+00:00,temperature_2m,8.4695,Celsius,0
Open-Meteo-API,2026-02-24 00:00:00+00:00,temperature_2m,8.8195,Celsius,0
Open-Meteo-API,2026-02-24 01:00:00+00:00,temperature_2m,8.4695,Celsius,0
Open-Meteo-API,2026-02-24 02:00:00+00:00,temperature_2m,7.7194996,Celsius,0
Open-Meteo-API,2026-02-24 03:00:00+00:00,temperature_2m,7.2695,Celsius,0
Open-Meteo-API,2026-02-24 04:00:00+00:00,temperature_2m,7.3694997,Celsius,0
Open-Meteo-API,2026-02-24 05:00:00+00:00,temperature_2m,7.7695,Celsius,0
Open-Meteo-API,2026-02-24 06:00:00+00:00,temperature_2m,8.0195,Celsius,0
Open-Meteo-API,2026-02-24 07:00:00+00:00,temperature_2m,7.9694996,Celsius,0
Open-Meteo-API,2026-02-24 08:00:00+00:00,temperature_2m,7.8195,Celsius,0
Open-Meteo-API,2026-02-24 09:00:00+00:00,temperature_2m,7.7194996,Celsius,0
Open-Meteo-API,2026-02-24 10:00:00+00:00,temperature_2m,7.7194996,Celsius,0
Open-Meteo-API,2026-02-24 11:00:00+00:00,temperature_2m,7.7695,Celsius,0
Open-Meteo-API,2026-02-24 12:00:00+00:00,temperature_2m,7.9195,Celsius,0
Open-Meteo-API,2026-02-24 13:00:00+00:00,temperature_2m,8.2695,Celsius,0
Open-Meteo-API,2026-02-24 14:00:00+00:00,temperature_2m,8.7195,Celsius,0
Open-Meteo-API,2026-02-24 15:00:00+00:00,temperature_2m,8.8695,Celsius,0
Open-Meteo-API,2026-02-24 16:00:00+00:00,temperature_2m,8.419499,Celsius,0
Open-Meteo-API,2026-02-24 17:00:00+00:00,temperature_2m,7.7194996,Celsius,0
Open-Meteo-API,2026-02-24 18:00:00+00:00,temperature_2m,7.0195,Celsius,0
Open-Meteo-API,2026-02-24 19:00:00+00:00,temperature_2m,6.5195,Celsius,0
Open-Meteo-API,2026-02-24 20:00:00+00:00,temperature_2m,6.0695,Celsius,0
Open-Meteo-API,2026-02-24 21:00:00+00:00,temperature_2m,5.7695,Celsius,0
Open-Meteo-API,2026-02-24 22:00:00+00:00,temperature_2m,5.5695,Celsius,0
Open-Meteo-API,2026-02-24 23:00:00+00:00,temperature_2m,5.5195,Celsius,0
